a01	div	dcode	uzcode	uncode	vcode_n	div_name	district	district_name	upazila	upazila_name	union	union_name	hh_type	a02	a10	a11	a12	a13	a14	a15	a16_dd	a16_mm	a16_yy	a17_dd	a17_mm	a17_yy	a18	a19	a20_dd	a20_mm	a20_yy	a21	flagaddl	sample_type	regnm	flag_org	aez_name	flag_smpl
35	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	186	1	1	98	2	1	1	4	12	2011				116	16	9	12	2011			2	"High Ganges River Floodplain"		"Floodplain"	
36	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	200	2	1	99	1	1	1	6	12	2011				116	16						2	"High Ganges River Floodplain"		"Floodplain"	
37	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	213	2	1	99	1	1	1	5	12	2011				116	16						2	"High Ganges River Floodplain"		"Floodplain"	
38	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	226	2	1	98	1	1	1	7	12	2011				116	16						2	"High Ganges River Floodplain"		"Floodplain"	
39	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	239	2	1	98	1	1	1	3	12	2011				116	16						2	"High Ganges River Floodplain"		"Floodplain"	
40	"40"	1	134	13473	181.0	"Khulna"	"01"	"Bagerhat"	"0134"	"Fakirhat"	"013473"	"Piljanga"	2	253	2	1	99	1	1	1	3	12	2011				116	16						2	"High Ganges River Floodplain"		"Floodplain"	
41	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	3	2	1	98	1	1	1	16	12	2011	17	12	2011	113	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
42	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	16	2	1	98	1	1	1	20	12	2011				112	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
43	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	28	2	1	98	1	1	1	16	12	2011				113	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
44	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	41	2	1	98	1	1	1	19	12	2011				113	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
45	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	53	2	1	98	1	1	1	19	12	2011	21	12	2011	112	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
46	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	65	2	1	98	1	1	1	17	12	2011	18	12	2011	112	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
47	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	78	1	1	98	1	1	1	18	12	2011	20	12	2011	112	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
48	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	90	2	1	98	1	1	1	17	12	2011	18	12	2011	112	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
49	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	103	2	1	98	1	1	1	18	12	2011	19	12	2011	112	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
50	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	115	1	1	98	1	1	1	18	12	2011				113	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
51	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	127	1	1	99	1	1	1	19	12	2011	21	12	2011	116	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
52	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	140	2	1	98	1	1	1	19	12	2011	21	12	2011	116	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
53	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	152	2	1	99	1	1	1	18	12	2011	20	12	2011	116	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
54	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	165	2	1	98	1	1	1	17	12	2011				116	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
55	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	177	2	1	99	1	1	1	20	12	2011	21	12	2011	116	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
56	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	189	2	1	98	1	1	1	18	12	2011				116	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
57	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	202	2	1	98	1	1	1	18	12	2011				113	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
58	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	214	2	1	98	1	1	1	17	12	2011				113	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
59	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	227	2	1	98	1	1	1	18	12	2011				113	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
60	"40"	1	160	16041	182.0	"Khulna"	"01"	"Bagerhat"	"0160"	"Morrelganj"	"016041"	"Hoglabunia"	2	239	2	1	98	1	1	1	19	12	2011				113	16						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
61	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	13	2	1	98	1	1	1	10	12	2011				116	16	14	12	2011			3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
62	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	25	2	1	98	1	1	1	10	12	2011	14	12	2011	112	16	16	12	2011			3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
63	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	38	2	1	99	1	1	1	10	12	2011				112	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
64	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	51	1	1	98	1	1	1	13	12	2011	14	12	2011	112	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
65	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	64	2	1	99	1	1	1	12	12	2011				112	16	14	12	2011			3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
66	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	77	2	1	98	1	1	1	14	12	2011				112	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
67	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	89	2	1	99	1	1	1	11	12	2011	13	12	2011	112	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
68	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	102	2	1	98	1	1	1	12	12	2011				116	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
69	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	115	2	1	99	1	1	1	14	12	2011				116	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
70	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	128	2	1	98	1	1	1	13	12	2011				116	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
71	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	141	2	1	98	1	1	1	14	12	2011				116	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
72	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	153	2	1	99	1	1	1	13	12	2011				116	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
73	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	166	2	1	99	1	1	1	11	12	2011				116	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
74	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	179	2	1	98	1	1	1	10	12	2011	11	12	2011	113	16	13	12	2011			3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
75	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	192	2	1	98	1	1	1	13	12	2011	14	12	2011	113	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
76	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	205	2	1	98	1	1	1	12	12	2011				113	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
77	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	217	2	1	98	1	1	1	13	12	2011				113	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
78	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	230	2	1	99	1	1	1	11	12	2011				113	16						3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
79	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	243	2	1	99	1	1	1	10	12	2011				113	16	13	12	2011			3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
80	"40"	1	177	17757	183.0	"Khulna"	"01"	"Bagerhat"	"0177"	"Sarankhola"	"017757"	"Royenda"	2	256	2	1	98	1	1	1	10	12	2011				113	16	13	12	2011			3	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
81	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	1	2	1	4	2	1	1	26	11	2011	29	11	2011	26	1						3	"Northern and Eastern Hills"			1
82	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	10	2	1	98	1	1	1	26	11	2011				26	1						3	"Northern and Eastern Hills"			1
83	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	20	2	1	99	1	1	1	28	11	2011				26	1						3	"Northern and Eastern Hills"			1
84	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	30	2	1	98	1	1	1	27	11	2011				22	1						3	"Northern and Eastern Hills"			1
85	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	40	2	1	98	1	1	1	28	11	2011	29	11	2011	22	1						3	"Northern and Eastern Hills"			1
86	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	50	2	1	98	1	1	1	28	11	2011				22	1						3	"Northern and Eastern Hills"			1
87	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	60	2	1	98	2	1	1	29	11	2011				22	1						3	"Northern and Eastern Hills"			1
88	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	70	1	1	99	1	1	1	28	11	2011	29	11	2011	26	1						3	"Northern and Eastern Hills"			1
89	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	79	2	1	99	1	1	1	27	11	2011	29	11	2011	26	1						3	"Northern and Eastern Hills"			1
90	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	89	2	1	98	1	1	1	27	11	2011				26	1						3	"Northern and Eastern Hills"			1
91	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	99	2	1	98	1	1	1	27	11	2011				23	1						3	"Northern and Eastern Hills"			1
92	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	109	2	1	99	1	1	1	26	11	2011	27	11	2011	23	1						3	"Northern and Eastern Hills"			1
93	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	119	2	1	98	1	1	1	26	11	2011				22	1						3	"Northern and Eastern Hills"			1
94	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	129	2	1	99	1	1	1	29	11	2011				23	1						3	"Northern and Eastern Hills"			1
95	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	138	2	1	99	1	1	1	28	11	2011	29	11	2011	23	1	29	11	2011			3	"Northern and Eastern Hills"			1
96	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	148	2	1	98	1	1	1	26	11	2011	27	11	2011	23	1						3	"Northern and Eastern Hills"			1
97	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	158	2	1	98	1	1	1	27	11	2011				23	1						3	"Northern and Eastern Hills"			1
98	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	168	1	1	2	2	1	1	28	11	2011	29	11	2011	23	1						3	"Northern and Eastern Hills"			1
99	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	178	2	1	99	1	1	1	27	11	2011				22	1						3	"Northern and Eastern Hills"			1
100	"20"	3	304	30431	33.0	"Chittagong"	"03"	"Bandarban"	"0304"	"Alikadam"	"030431"	"Alikadam"	2	188	2	1	98	1	1	1	26	11	2011	27	11	2011	22	1						3	"Northern and Eastern Hills"			1
101	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	13	2	1	99	1	1	1	26	11	2011	27	11	2011	40	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
102	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	26	2	1	99	1	1	1	27	11	2011				40	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
103	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	40	2	1	99	1	1	1	26	11	2011	27	11	2011	44	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
104	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	53	2	1	98	1	1	1	26	11	2011	27	11	2011	41	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
105	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	67	2	1	98	1	1	1	27	11	2011				40	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
106	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	81	1	1	99	1	1	1	27	11	2011				44	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
107	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	94	2	1	98	1	1	1	27	11	2011				41	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
108	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	108	2	2	98	1	1	1	26	11	2011				41	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
109	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	121	2	1	99	1	1	1	30	11	2011				44	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
110	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	135	2	1	98	1	1	1	30	11	2011				41	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
111	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	149	2	1	98	1	1	1	27	11	2011	28	11	2011	41	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
112	"10"	4	409	40913	1.0	"Barisal"	"04"	"Barguna"	"0409"	"Amtali"	"040913"	"Amtali"	2	162	1	1	99	1	1	1	29	11	2011	30	11	2011	41	4						2	"Ganges Tidal Floodplain"		"Tidal Floodplain"	
